## header:
##   title: Sn120(n,x) nuclear model parameters
##   source: TALYS-2.2
##   user: Arjan Koning
##   date: 2026-01-01
##   format: YANDF-0.4
## target:
##   Z: 50
##   A: 120
##   nuclide: Sn120 
## residual:
##   Z: 50
##   A: 121
##   nuclide: Sn121 
## parameters: 
##   level density
a                50 121  15.56454
aadjust          50 121   1.00000
gammald          50 121   0.08756
pair             50 121   1.09091
Pshift           50 121   0.00000   0
Pshiftadjust     50 121   0.00000   0
deltaW           50 121   0.97509   0
T                50 121   0.66544   0
E0               50 121  -0.63986   0
Exmatch          50 121   5.61959   0
Tadjust          50 121   1.00000   0
E0adjust         50 121   1.00000   0
Exmatchadjust    50 121   1.00000   0
Ntop             50 121  16   0
Nlow             50 121   7   0
s2adjust         50 121   1.00000   0
ctable           50 121   0.00000   0
ptable           50 121   0.00000   0
ctableadjust     50 121   0.00000   0
ptableadjust     50 121   0.00000   0
Ufermi           50 121  30.00000   0
cfermi           50 121   5.00000   0
D0               50 121 1.25000E+03
g                50 121   8.06667
gp               50 121   3.33333
gn               50 121   4.73333
gnadjust         50 121   1.00000
gpadjust         50 121   1.00000
gadjust          50 121   1.00000
Risomer          50 121   1.00000
## parameters: 
##   photon strength function
gamgam           50 121   0.00004
gamgamadjust     50 121   1.00000
etable           50 121   0.00000 E1
ftable           50 121   1.00000 E1
wtable           50 121   1.08100 E1
etableadjust     50 121   0.00000 E1
ftableadjust     50 121   1.00000 E1
wtableadjust     50 121   1.00000 E1
upbendc          50 121 3.50000E-08 M1
upbende          50 121 8.00000E-01 M1
upbendf          50 121 6.00000E+00 M1
upbendcadjust    50 121 1.00000E+00 M1
upbendeadjust    50 121 1.00000E+00 M1
upbendfadjust    50 121 1.00000E+00 M1
sgr              50 121   1.632 M1
egr              50 121   8.094 M1
ggr              50 121   4.000 M1
sgradjust        50 121   1.000 M1
egradjust        50 121   1.000 M1
ggradjust        50 121   1.000 M1
etable           50 121   0.00000 E2
ftable           50 121   1.00000 E2
wtable           50 121   1.00000 E2
etableadjust     50 121   0.00000 E2
ftableadjust     50 121   1.00000 E2
wtableadjust     50 121   1.00000 E2
upbendc          50 121 0.00000E+00 M2
upbende          50 121 0.00000E+00 M2
upbendf          50 121 0.00000E+00 M2
upbendcadjust    50 121 1.00000E+00 M2
upbendeadjust    50 121 1.00000E+00 M2
upbendfadjust    50 121 1.00000E+00 M2
sgr              50 121   0.001 M2
egr              50 121   8.094 M2
ggr              50 121   4.000 M2
sgradjust        50 121   1.000 M2
egradjust        50 121   1.000 M2
ggradjust        50 121   1.000 M2
## residual:
##   Z: 50
##   A: 120
##   nuclide: Sn120 
## parameters: 
##   level density
a                50 120  16.06975
aadjust          50 120   1.07500
gammald          50 120   0.08780
pair             50 120   2.19089
Pshift           50 120   0.00000   0
Pshiftadjust     50 120   0.00000   0
deltaW           50 120   0.88978   0
T                50 120   0.62216   0
E0               50 120   0.70269   0
Exmatch          50 120   6.25152   0
Tadjust          50 120   1.00000   0
E0adjust         50 120   1.00000   0
Exmatchadjust    50 120   1.00000   0
Ntop             50 120  19   0
Nlow             50 120   5   0
s2adjust         50 120   1.00000   0
ctable           50 120   0.00000   0
ptable           50 120   0.00000   0
ctableadjust     50 120   0.00000   0
ptableadjust     50 120   0.00000   0
Ufermi           50 120  30.00000   0
cfermi           50 120   5.00000   0
D0               50 120 9.00000E+01
g                50 120   8.00000
gp               50 120   3.33333
gn               50 120   4.66667
gnadjust         50 120   1.00000
gpadjust         50 120   1.00000
gadjust          50 120   1.00000
Risomer          50 120   1.00000
## parameters: 
##   photon strength function
gamgam           50 120   0.00010
gamgamadjust     50 120   1.00000
etable           50 120   0.00000 E1
ftable           50 120   1.00000 E1
wtable           50 120   1.08100 E1
etableadjust     50 120   0.00000 E1
ftableadjust     50 120   1.00000 E1
wtableadjust     50 120   1.00000 E1
upbendc          50 120 3.50000E-08 M1
upbende          50 120 8.00000E-01 M1
upbendf          50 120 6.00000E+00 M1
upbendcadjust    50 120 1.00000E+00 M1
upbendeadjust    50 120 1.00000E+00 M1
upbendfadjust    50 120 1.00000E+00 M1
sgr              50 120   1.621 M1
egr              50 120   8.105 M1
ggr              50 120   4.000 M1
sgradjust        50 120   1.000 M1
egradjust        50 120   1.000 M1
ggradjust        50 120   1.000 M1
etable           50 120   0.00000 E2
ftable           50 120   1.00000 E2
wtable           50 120   1.00000 E2
etableadjust     50 120   0.00000 E2
ftableadjust     50 120   1.00000 E2
wtableadjust     50 120   1.00000 E2
upbendc          50 120 0.00000E+00 M2
upbende          50 120 0.00000E+00 M2
upbendf          50 120 0.00000E+00 M2
upbendcadjust    50 120 1.00000E+00 M2
upbendeadjust    50 120 1.00000E+00 M2
upbendfadjust    50 120 1.00000E+00 M2
sgr              50 120   0.001 M2
egr              50 120   8.105 M2
ggr              50 120   4.000 M2
sgradjust        50 120   1.000 M2
egradjust        50 120   1.000 M2
ggradjust        50 120   1.000 M2
## residual:
##   Z: 49
##   A: 120
##   nuclide: In120 
## parameters: 
##   level density
a                49 120  17.18467
aadjust          49 120   1.00000
gammald          49 120   0.08780
pair             49 120   0.00000
Pshift           49 120   0.00000   0
Pshiftadjust     49 120   0.00000   0
deltaW           49 120   1.93150   0
T                49 120   0.61098   0
E0               49 120  -1.71142   0
Exmatch          49 120   4.18238   0
Tadjust          49 120   1.00000   0
E0adjust         49 120   1.00000   0
Exmatchadjust    49 120   1.00000   0
Ntop             49 120  30   0
Nlow             49 120   2   0
s2adjust         49 120   1.00000   0
ctable           49 120   0.00000   0
ptable           49 120   0.00000   0
ctableadjust     49 120   0.00000   0
ptableadjust     49 120   0.00000   0
Ufermi           49 120  30.00000   0
cfermi           49 120   5.00000   0
g                49 120   8.00000
gp               49 120   3.26667
gn               49 120   4.73333
gnadjust         49 120   1.00000
gpadjust         49 120   1.00000
gadjust          49 120   1.00000
Risomer          49 120   1.00000
## parameters: 
##   photon strength function
gamgam           49 120   0.00000
gamgamadjust     49 120   1.00000
etable           49 120   0.00000 E1
ftable           49 120   1.00000 E1
wtable           49 120   1.08100 E1
etableadjust     49 120   0.00000 E1
ftableadjust     49 120   1.00000 E1
wtableadjust     49 120   1.00000 E1
upbendc          49 120 3.50000E-08 M1
upbende          49 120 8.00000E-01 M1
upbendf          49 120 6.00000E+00 M1
upbendcadjust    49 120 1.00000E+00 M1
upbendeadjust    49 120 1.00000E+00 M1
upbendfadjust    49 120 1.00000E+00 M1
sgr              49 120   1.621 M1
egr              49 120   8.105 M1
ggr              49 120   4.000 M1
sgradjust        49 120   1.000 M1
egradjust        49 120   1.000 M1
ggradjust        49 120   1.000 M1
etable           49 120   0.00000 E2
ftable           49 120   1.00000 E2
wtable           49 120   1.00000 E2
etableadjust     49 120   0.00000 E2
ftableadjust     49 120   1.00000 E2
wtableadjust     49 120   1.00000 E2
upbendc          49 120 0.00000E+00 M2
upbende          49 120 0.00000E+00 M2
upbendf          49 120 0.00000E+00 M2
upbendcadjust    49 120 1.00000E+00 M2
upbendeadjust    49 120 1.00000E+00 M2
upbendfadjust    49 120 1.00000E+00 M2
sgr              49 120   0.001 M2
egr              49 120   8.105 M2
ggr              49 120   4.000 M2
sgradjust        49 120   1.000 M2
egradjust        49 120   1.000 M2
ggradjust        49 120   1.000 M2
## residual:
##   Z: 49
##   A: 119
##   nuclide: In119 
## parameters: 
##   level density
a                49 119  18.39822
aadjust          49 119   1.00000
gammald          49 119   0.08805
pair             49 119   1.10004
Pshift           49 119   0.00000   0
Pshiftadjust     49 119   0.00000   0
deltaW           49 119   2.15385   0
T                49 119   0.48549   0
E0               49 119   0.25023   0
Exmatch          49 119   3.76141   0
Tadjust          49 119   1.00000   0
E0adjust         49 119   1.00000   0
Exmatchadjust    49 119   1.00000   0
Ntop             49 119  16   0
Nlow             49 119   4   0
s2adjust         49 119   1.00000   0
ctable           49 119   0.00000   0
ptable           49 119   0.00000   0
ctableadjust     49 119   0.00000   0
ptableadjust     49 119   0.00000   0
Ufermi           49 119  30.00000   0
cfermi           49 119   5.00000   0
g                49 119   7.93333
gp               49 119   3.26667
gn               49 119   4.66667
gnadjust         49 119   1.00000
gpadjust         49 119   1.00000
gadjust          49 119   1.00000
Risomer          49 119   1.00000
## parameters: 
##   photon strength function
gamgam           49 119   0.00000
gamgamadjust     49 119   1.00000
etable           49 119   0.00000 E1
ftable           49 119   1.00000 E1
wtable           49 119   1.08100 E1
etableadjust     49 119   0.00000 E1
ftableadjust     49 119   1.00000 E1
wtableadjust     49 119   1.00000 E1
upbendc          49 119 3.50000E-08 M1
upbende          49 119 8.00000E-01 M1
upbendf          49 119 6.00000E+00 M1
upbendcadjust    49 119 1.00000E+00 M1
upbendeadjust    49 119 1.00000E+00 M1
upbendfadjust    49 119 1.00000E+00 M1
sgr              49 119   1.610 M1
egr              49 119   8.116 M1
ggr              49 119   4.000 M1
sgradjust        49 119   1.000 M1
egradjust        49 119   1.000 M1
ggradjust        49 119   1.000 M1
etable           49 119   0.00000 E2
ftable           49 119   1.00000 E2
wtable           49 119   1.00000 E2
etableadjust     49 119   0.00000 E2
ftableadjust     49 119   1.00000 E2
wtableadjust     49 119   1.00000 E2
upbendc          49 119 0.00000E+00 M2
upbende          49 119 0.00000E+00 M2
upbendf          49 119 0.00000E+00 M2
upbendcadjust    49 119 1.00000E+00 M2
upbendeadjust    49 119 1.00000E+00 M2
upbendfadjust    49 119 1.00000E+00 M2
sgr              49 119   0.001 M2
egr              49 119   8.116 M2
ggr              49 119   4.000 M2
sgradjust        49 119   1.000 M2
egradjust        49 119   1.000 M2
ggradjust        49 119   1.000 M2
## residual:
##   Z: 49
##   A: 118
##   nuclide: In118 
## parameters: 
##   level density
a                49 118  17.26505
aadjust          49 118   1.00000
gammald          49 118   0.08830
pair             49 118   0.00000
Pshift           49 118   0.00000   0
Pshiftadjust     49 118   0.00000   0
deltaW           49 118   2.54515   0
T                49 118   0.36239   0
E0               49 118   0.02794   0
Exmatch          49 118   0.91215   0
Tadjust          49 118   1.00000   0
E0adjust         49 118   1.00000   0
