## header:
##   title: Ag107(p,x) nuclear model parameters
##   source: TALYS-2.2
##   user: Arjan Koning
##   date: 2026-01-18
##   format: YANDF-0.4
## target:
##   Z: 47
##   A: 107
##   nuclide: Ag107 
## residual:
##   Z: 48
##   A: 108
##   nuclide: Cd108 
## parameters: 
##   level density
a                48 108  14.50228
aadjust          48 108   1.00000
gammald          48 108   0.09094
pair             48 108   2.30940
Pshift           48 108   0.00000   0
Pshiftadjust     48 108   0.00000   0
deltaW           48 108   0.68533   0
T                48 108   0.71766   0
E0               48 108   0.33900   0
Exmatch          48 108   7.29464   0
Tadjust          48 108   1.00000   0
E0adjust         48 108   1.00000   0
Exmatchadjust    48 108   1.00000   0
Ntop             48 108  17   0
Nlow             48 108   6   0
s2adjust         48 108   1.00000   0
ctable           48 108   0.00000   0
ptable           48 108   0.00000   0
ctableadjust     48 108   0.00000   0
ptableadjust     48 108   0.00000   0
Ufermi           48 108  30.00000   0
cfermi           48 108   5.00000   0
g                48 108   7.20000
gp               48 108   3.27821
gn               48 108   4.31512
gnadjust         48 108   1.07878
gpadjust         48 108   1.02444
gadjust          48 108   1.00000
Risomer          48 108   1.00000
## parameters: 
##   photon strength function
gamgam           48 108   0.00000
gamgamadjust     48 108   1.00000
etable           48 108   0.00000 E1
ftable           48 108   1.00000 E1
wtable           48 108   1.00000 E1
etableadjust     48 108   0.00000 E1
ftableadjust     48 108   1.00000 E1
wtableadjust     48 108   1.00000 E1
upbendc          48 108 3.50000E-08 M1
upbende          48 108 8.00000E-01 M1
upbendf          48 108 6.00000E+00 M1
upbendcadjust    48 108 1.00000E+00 M1
upbendeadjust    48 108 1.00000E+00 M1
upbendfadjust    48 108 1.00000E+00 M1
sgr              48 108   1.485 M1
egr              48 108   8.248 M1
ggr              48 108   4.000 M1
sgradjust        48 108   1.000 M1
egradjust        48 108   1.000 M1
ggradjust        48 108   1.000 M1
etable           48 108   0.00000 E2
ftable           48 108   1.00000 E2
wtable           48 108   1.00000 E2
etableadjust     48 108   0.00000 E2
ftableadjust     48 108   1.00000 E2
wtableadjust     48 108   1.00000 E2
upbendc          48 108 0.00000E+00 M2
upbende          48 108 0.00000E+00 M2
upbendf          48 108 0.00000E+00 M2
upbendcadjust    48 108 1.00000E+00 M2
upbendeadjust    48 108 1.00000E+00 M2
upbendfadjust    48 108 1.00000E+00 M2
sgr              48 108   0.001 M2
egr              48 108   8.248 M2
ggr              48 108   4.000 M2
sgradjust        48 108   1.000 M2
egradjust        48 108   1.000 M2
ggradjust        48 108   1.000 M2
## residual:
##   Z: 48
##   A: 107
##   nuclide: Cd107 
## parameters: 
##   level density
a                48 107  14.82728
aadjust          48 107   1.00000
gammald          48 107   0.09123
pair             48 107   1.16008
Pshift           48 107   0.00000   0
Pshiftadjust     48 107   0.00000   0
deltaW           48 107   0.34358   0
T                48 107   0.73455   0
E0               48 107  -1.13102   0
Exmatch          48 107   6.66247   0
Tadjust          48 107   1.00000   0
E0adjust         48 107   1.00000   0
Exmatchadjust    48 107   1.00000   0
Ntop             48 107  21   0
Nlow             48 107   2   0
s2adjust         48 107   1.00000   0
ctable           48 107   0.00000   0
ptable           48 107   0.00000   0
ctableadjust     48 107   0.00000   0
ptableadjust     48 107   0.00000   0
Ufermi           48 107  30.00000   0
cfermi           48 107   5.00000   0
D0               48 107 1.65000E+02
g                48 107   7.13333
gp               48 107   3.23174
gn               48 107   4.13330
gnadjust         48 107   1.05084
gpadjust         48 107   1.00992
gadjust          48 107   1.00000
Risomer          48 107   1.00000
## parameters: 
##   photon strength function
gamgam           48 107   0.00016
gamgamadjust     48 107   1.00000
etable           48 107   0.00000 E1
ftable           48 107   1.00000 E1
wtable           48 107   1.00000 E1
etableadjust     48 107   0.00000 E1
ftableadjust     48 107   1.00000 E1
wtableadjust     48 107   1.00000 E1
upbendc          48 107 3.50000E-08 M1
upbende          48 107 8.00000E-01 M1
upbendf          48 107 6.00000E+00 M1
upbendcadjust    48 107 1.00000E+00 M1
upbendeadjust    48 107 1.00000E+00 M1
upbendfadjust    48 107 1.00000E+00 M1
sgr              48 107   1.473 M1
egr              48 107   8.261 M1
ggr              48 107   4.000 M1
sgradjust        48 107   1.000 M1
egradjust        48 107   1.000 M1
ggradjust        48 107   1.000 M1
etable           48 107   0.00000 E2
ftable           48 107   1.00000 E2
wtable           48 107   1.00000 E2
etableadjust     48 107   0.00000 E2
ftableadjust     48 107   1.00000 E2
wtableadjust     48 107   1.00000 E2
upbendc          48 107 0.00000E+00 M2
upbende          48 107 0.00000E+00 M2
upbendf          48 107 0.00000E+00 M2
upbendcadjust    48 107 1.00000E+00 M2
upbendeadjust    48 107 1.00000E+00 M2
upbendfadjust    48 107 1.00000E+00 M2
sgr              48 107   0.001 M2
egr              48 107   8.261 M2
ggr              48 107   4.000 M2
sgradjust        48 107   1.000 M2
egradjust        48 107   1.000 M2
ggradjust        48 107   1.000 M2
## residual:
##   Z: 47
##   A: 107
##   nuclide: Ag107 
## parameters: 
##   level density
a                47 107  16.51014
aadjust          47 107   1.00000
gammald          47 107   0.09123
pair             47 107   1.16008
Pshift           47 107   0.00000   0
Pshiftadjust     47 107   0.00000   0
deltaW           47 107   1.96826   0
T                47 107   0.59966   0
E0               47 107  -0.34850   0
Exmatch          47 107   4.98027   0
Tadjust          47 107   1.00000   0
E0adjust         47 107   1.00000   0
Exmatchadjust    47 107   1.00000   0
Ntop             47 107  21   0
Nlow             47 107   2   0
s2adjust         47 107   1.00000   0
ctable           47 107   0.00000   0
ptable           47 107   0.00000   0
ctableadjust     47 107   0.00000   0
ptableadjust     47 107   0.00000   0
Ufermi           47 107  30.00000   0
cfermi           47 107   5.00000   0
g                47 107   7.13333
gp               47 107   3.02107
gn               47 107   3.76236
gnadjust         47 107   0.94059
gpadjust         47 107   0.96417
gadjust          47 107   1.00000
Risomer          47 107   1.00000
## parameters: 
##   photon strength function
gamgam           47 107   0.00000
gamgamadjust     47 107   1.00000
etable           47 107   0.00000 E1
ftable           47 107   1.00000 E1
wtable           47 107   1.00000 E1
etableadjust     47 107   0.00000 E1
ftableadjust     47 107   1.00000 E1
wtableadjust     47 107   1.00000 E1
upbendc          47 107 3.50000E-08 M1
upbende          47 107 8.00000E-01 M1
upbendf          47 107 6.00000E+00 M1
upbendcadjust    47 107 1.00000E+00 M1
upbendeadjust    47 107 1.00000E+00 M1
upbendfadjust    47 107 1.00000E+00 M1
sgr              47 107   1.473 M1
egr              47 107   8.261 M1
ggr              47 107   4.000 M1
sgradjust        47 107   1.000 M1
egradjust        47 107   1.000 M1
ggradjust        47 107   1.000 M1
etable           47 107   0.00000 E2
ftable           47 107   1.00000 E2
wtable           47 107   1.00000 E2
etableadjust     47 107   0.00000 E2
ftableadjust     47 107   1.00000 E2
wtableadjust     47 107   1.00000 E2
upbendc          47 107 0.00000E+00 M2
upbende          47 107 0.00000E+00 M2
